DATE,Time,Temp
9/9/2019,20:53:00,84
9/9/2019,21:53:00,82
9/9/2019,22:53:00,83
9/9/2019,23:53:00,80
9/10/2019,00:53:00,82
9/10/2019,01:53:00,79
9/10/2019,02:53:00,78
9/10/2019,03:53:00,78
9/10/2019,04:53:00,78
9/10/2019,05:53:00,77
9/10/2019,06:53:00,79
9/10/2019,07:53:00,84
9/10/2019,08:53:00,87
9/10/2019,09:53:00,90
9/10/2019,10:53:00,91
9/10/2019,11:53:00,93
9/10/2019,12:53:00,94
9/10/2019,13:53:00,94
9/10/2019,14:53:00,95
9/10/2019,15:53:00,94
9/10/2019,16:53:00,93
9/10/2019,17:36:00,91
9/10/2019,17:51:00,90
9/10/2019,17:53:00,90
9/10/2019,18:53:00,86
9/10/2019,19:53:00,84
9/10/2019,20:53:00,80
9/10/2019,21:53:00,81
9/10/2019,22:53:00,82
9/10/2019,23:53:00,81
9/11/2019,00:53:00,80
9/11/2019,01:53:00,79
9/11/2019,02:53:00,78
9/11/2019,03:53:00,77
9/11/2019,04:53:00,77
9/11/2019,05:53:00,77
9/11/2019,06:53:00,80
9/11/2019,07:53:00,82
9/11/2019,08:53:00,86
9/11/2019,09:53:00,90
9/11/2019,10:53:00,90
9/11/2019,11:53:00,92
9/11/2019,12:53:00,93
9/11/2019,13:14:00,94
9/11/2019,13:53:00,93
9/11/2019,14:51:00,82
9/11/2019,14:53:00,82
9/11/2019,15:53:00,79
9/11/2019,16:38:00,82
9/11/2019,16:53:00,82
9/11/2019,17:53:00,82
9/11/2019,18:53:00,80
9/11/2019,19:53:00,78
9/11/2019,20:53:00,77
9/11/2019,21:53:00,76
9/11/2019,22:53:00,75
9/11/2019,23:53:00,76
9/12/2019,00:53:00,74
9/12/2019,01:53:00,73
9/12/2019,02:53:00,73
9/12/2019,03:53:00,72
9/12/2019,04:53:00,73
9/12/2019,05:53:00,72
9/12/2019,06:53:00,77
9/12/2019,07:53:00,83
9/12/2019,08:53:00,88
9/12/2019,09:53:00,91
9/12/2019,10:53:00,92
9/12/2019,11:53:00,92
9/12/2019,12:53:00,96
9/12/2019,13:53:00,95
9/12/2019,14:53:00,94
9/12/2019,15:53:00,94
9/12/2019,16:53:00,93
9/12/2019,17:53:00,87
9/12/2019,18:53:00,85
9/12/2019,19:53:00,83
9/12/2019,20:53:00,80
9/12/2019,21:53:00,79
9/12/2019,22:53:00,77
9/12/2019,23:53:00,77
9/13/2019,00:53:00,75
9/13/2019,01:53:00,74
9/13/2019,02:53:00,74
9/13/2019,03:53:00,73
9/13/2019,04:53:00,72
9/13/2019,05:53:00,73
9/13/2019,06:53:00,77
9/13/2019,07:53:00,85
9/13/2019,08:53:00,88
9/13/2019,09:53:00,93
9/13/2019,10:53:00,96
9/13/2019,11:53:00,97
9/13/2019,12:53:00,97
9/13/2019,13:53:00,98
9/13/2019,14:53:00,97
9/13/2019,15:53:00,96
9/13/2019,16:53:00,96
9/13/2019,17:45:00,90
9/13/2019,17:53:00,90
9/13/2019,18:00:00,91
9/13/2019,18:53:00,85
9/13/2019,19:53:00,83
9/13/2019,20:53:00,82
9/13/2019,21:53:00,81
9/13/2019,22:53:00,80
9/13/2019,23:53:00,82
9/14/2019,00:53:00,76
9/14/2019,00:56:00,75
9/14/2019,01:05:00,75
9/14/2019,01:53:00,75
9/14/2019,02:53:00,75
9/14/2019,03:53:00,75
9/14/2019,04:53:00,74
9/14/2019,05:53:00,74
9/14/2019,06:53:00,76
9/14/2019,07:53:00,76
9/14/2019,08:53:00,78
9/14/2019,09:53:00,82
9/14/2019,10:53:00,86
9/14/2019,11:53:00,89
9/14/2019,12:53:00,90
9/14/2019,13:53:00,89
9/14/2019,14:53:00,90
9/14/2019,15:53:00,90
9/14/2019,16:53:00,88
9/14/2019,17:53:00,86
9/14/2019,18:53:00,84
9/14/2019,19:53:00,82
9/14/2019,20:53:00,83
9/14/2019,21:53:00,81
9/14/2019,22:53:00,77
9/14/2019,23:53:00,78
9/15/2019,00:53:00,76
9/15/2019,01:53:00,77
9/15/2019,02:53:00,75
9/15/2019,03:53:00,75
9/15/2019,04:53:00,75
9/15/2019,05:53:00,74
9/15/2019,06:53:00,76
9/15/2019,07:53:00,80
9/15/2019,08:53:00,82
9/15/2019,09:53:00,85
9/15/2019,10:53:00,88
9/15/2019,11:53:00,90
9/15/2019,12:53:00,91
9/15/2019,13:53:00,92
9/15/2019,14:53:00,93
9/15/2019,15:53:00,92
9/15/2019,16:53:00,91
9/15/2019,17:53:00,89
9/15/2019,18:53:00,84
9/15/2019,19:53:00,81
9/15/2019,20:53:00,80
9/15/2019,21:53:00,78
9/15/2019,22:53:00,76
9/15/2019,23:53:00,75
9/16/2019,00:53:00,75
9/16/2019,01:53:00,73
9/16/2019,02:53:00,72
9/16/2019,03:53:00,73
9/16/2019,04:53:00,72
9/16/2019,05:53:00,72
9/16/2019,06:53:00,77
9/16/2019,07:53:00,83
9/16/2019,08:53:00,88
9/16/2019,09:53:00,90
9/16/2019,10:53:00,93
9/16/2019,11:53:00,96
9/16/2019,12:53:00,96
9/16/2019,13:53:00,96
9/16/2019,14:53:00,96
9/16/2019,15:53:00,97
9/16/2019,16:53:00,94
9/16/2019,17:53:00,88
9/16/2019,18:53:00,83
9/16/2019,19:53:00,81
9/16/2019,20:53:00,78
9/16/2019,21:53:00,77
9/16/2019,22:53:00,76
9/16/2019,23:53:00,74
9/17/2019,00:53:00,73
9/17/2019,01:53:00,72
9/17/2019,02:53:00,71
9/17/2019,03:53:00,69
9/17/2019,04:53:00,69
9/17/2019,05:53:00,70
9/17/2019,06:53:00,76
9/17/2019,07:53:00,83
9/17/2019,08:53:00,90
9/17/2019,09:53:00,95
9/17/2019,10:53:00,95
9/17/2019,11:53:00,96
9/17/2019,12:53:00,98
9/17/2019,13:53:00,99
9/17/2019,14:53:00,99
9/17/2019,15:53:00,97
9/17/2019,16:53:00,95
9/17/2019,17:53:00,89
9/17/2019,18:53:00,87
9/17/2019,19:53:00,84
9/17/2019,20:53:00,81
9/17/2019,21:53:00,79
9/17/2019,22:53:00,78
9/17/2019,23:53:00,76
9/18/2019,00:53:00,75
9/18/2019,01:53:00,74
9/18/2019,02:53:00,73
9/18/2019,03:53:00,73
9/18/2019,04:53:00,73
9/18/2019,05:53:00,71
9/18/2019,06:53:00,77
9/18/2019,07:53:00,84
9/18/2019,08:53:00,90
9/18/2019,09:53:00,92
9/18/2019,10:53:00,93
9/18/2019,11:53:00,94
9/18/2019,12:53:00,96
9/18/2019,13:53:00,96
9/18/2019,14:53:00,96
9/18/2019,15:53:00,96
9/18/2019,16:53:00,95
9/18/2019,17:53:00,91
9/18/2019,18:53:00,86
9/18/2019,19:53:00,86
9/18/2019,20:53:00,84
9/18/2019,21:53:00,82
9/18/2019,22:53:00,80
9/18/2019,23:53:00,79
9/19/2019,00:53:00,78
9/19/2019,01:53:00,77
9/19/2019,02:53:00,75
9/19/2019,03:53:00,74
9/19/2019,04:53:00,74
9/19/2019,05:40:00,73
9/19/2019,05:53:00,74
9/19/2019,06:53:00,74
9/19/2019,07:53:00,76
9/19/2019,08:15:00,77
9/19/2019,08:53:00,80
9/19/2019,09:53:00,82
9/19/2019,10:53:00,84
9/19/2019,11:53:00,86
9/19/2019,12:53:00,89
9/19/2019,13:53:00,87
9/19/2019,14:53:00,88
9/19/2019,15:53:00,87
9/19/2019,16:53:00,86
9/19/2019,17:53:00,83
9/19/2019,18:53:00,81
9/19/2019,19:53:00,80
9/19/2019,20:53:00,79
9/19/2019,21:53:00,77
9/19/2019,22:53:00,76
9/19/2019,23:53:00,75
9/20/2019,00:53:00,74
9/20/2019,01:53:00,72
9/20/2019,02:53:00,72
9/20/2019,03:53:00,71
9/20/2019,04:53:00,70
9/20/2019,05:53:00,69
9/20/2019,06:53:00,70
9/20/2019,07:53:00,72
9/20/2019,08:53:00,76
9/20/2019,09:53:00,78
9/20/2019,10:53:00,80
9/20/2019,11:53:00,83
9/20/2019,12:53:00,86
9/20/2019,13:53:00,87
9/20/2019,14:53:00,87
9/20/2019,15:53:00,86
9/20/2019,16:53:00,85
9/20/2019,17:53:00,83
9/20/2019,18:53:00,79
9/20/2019,19:53:00,78
9/20/2019,20:53:00,72
9/20/2019,21:53:00,74
9/20/2019,22:53:00,73
9/20/2019,23:53:00,74
9/21/2019,00:53:00,72
9/21/2019,01:53:00,71
9/21/2019,02:53:00,71
9/21/2019,03:53:00,70
9/21/2019,04:53:00,66
9/21/2019,05:53:00,67
9/21/2019,06:53:00,72
9/21/2019,07:53:00,74
9/21/2019,08:53:00,77
9/21/2019,09:53:00,83
9/21/2019,10:53:00,83
9/21/2019,11:53:00,87
9/21/2019,12:53:00,85
9/21/2019,13:53:00,88
9/21/2019,14:53:00,89
9/21/2019,15:53:00,88
9/21/2019,16:53:00,87
9/21/2019,17:53:00,83
9/21/2019,18:53:00,79
9/21/2019,19:53:00,75
9/21/2019,20:53:00,75
9/21/2019,21:53:00,75
9/21/2019,22:53:00,69
9/21/2019,23:53:00,69
9/22/2019,00:53:00,68
9/22/2019,01:53:00,67
9/22/2019,02:53:00,66
9/22/2019,03:53:00,65
9/22/2019,04:53:00,69
9/22/2019,05:53:00,68
9/22/2019,06:53:00,72
9/22/2019,07:53:00,76
9/22/2019,08:53:00,80
9/22/2019,09:53:00,85
9/22/2019,10:53:00,86
9/22/2019,11:53:00,87
9/22/2019,12:53:00,88
9/22/2019,13:53:00,89
9/22/2019,14:53:00,90
9/22/2019,15:53:00,90
9/22/2019,16:53:00,88
9/22/2019,17:53:00,83
9/22/2019,18:53:00,80
9/22/2019,19:53:00,76
9/22/2019,20:53:00,74
9/22/2019,21:53:00,72
9/22/2019,22:53:00,70
9/22/2019,23:53:00,68
9/23/2019,00:53:00,66
9/23/2019,01:53:00,66
9/23/2019,02:53:00,65
9/23/2019,03:53:00,64
9/23/2019,04:53:00,65
9/23/2019,05:53:00,65
